STRUCTURE_NUMBER_008,YEAR_BUILT_027,Material Used,DeckRating_of_Year_2007,DeckRating_of_Year_2008,DeckRating_of_Year_2009,DeckRating_of_Year_2010,DeckRating_of_Year_2011,DeckRating_of_Year_2012,DeckRating_of_Year_2013,DeckRating_of_Year_2014,DeckRating_of_Year_2015,DeckRating_of_Year_2016,DeckRating_of_Year_2017,DeckRating_of_Year_2018,DeckRating_of_Year_2019,DeckRating_of_Year_2020,DeckRating_of_Year_2021
418,1981,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
419,1967,Steel,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
421,1967,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
422,1967,Steel,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
423,1967,Steel,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
424,1944,Steel,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
425,1982,Prestressed Concrete,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
426,1982,Prestressed Concrete,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
427,2014,Prestressed Concrete,5,5,5,6,6,5,4,4,9,9,9,9,9,9,9
429,1979,Steel,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
430,1983,Wood or Timber,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8
431,1957,Steel,5,5,5,5,5,5,5,5,7,7,7,7,6,6,6
433,1968,Steel,5,7,7,7,7,7,6,6,6,6,6,6,6,6,6
440,1969,Steel Continuous,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
441,1977,Prestressed Concrete,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8
442,1977,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
444,1976,Steel Continuous,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
445,1984,Wood or Timber,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
446,2018,Prestressed Concrete,5,5,5,4,4,4,4,4,4,4,4,4,9,9,9
453,1979,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
455,1975,Steel Continuous,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6
460,1973,Wood or Timber,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
461,1947,Steel,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6
462,1947,Steel,7,7,6,6,4,4,6,6,6,6,6,6,6,6,6
463,1941,Steel,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6
464,1937,Steel,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
466,1937,Steel,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6
467,1937,Steel,7,7,7,7,7,7,9,9,9,9,9,9,8,8,8
470,1974,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
473,1972,Steel,8,8,8,8,1,1,6,6,6,6,6,6,6,6,6
478,1972,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
481,1969,Steel,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7
482,1985,Steel Continuous,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6
484,2002,Steel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6
496,1991,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7
501,1995,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
503,1983,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
504,1986,Prestressed Concrete,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7
505,2010,Prestressed Concrete,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9
506,2019,Prestressed Concrete,5,5,5,5,6,6,6,6,6,6,6,6,6,8,8
507,1985,Prestressed Concrete,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
508,1985,Prestressed Concrete,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
509,1944,Steel,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6
510,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
511,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
513,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7
514,1985,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7
515,1990,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
516,1982,Prestressed Concrete,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
519,1999,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
520,1944,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
521,1995,Prestressed Concrete,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
524,1966,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
525,2011,Prestressed Concrete,6,6,6,6,6,9,9,9,9,9,9,9,8,8,8
526,2016,Prestressed Concrete,5,5,5,5,5,5,5,5,6,7,9,9,9,9,9
527,1967,Steel Continuous,7,7,7,7,7,7,7,7,8,8,8,8,7,7,7
528,1967,Steel,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6
529,1967,Steel,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
530,1967,Steel,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7
531,1971,Steel,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
532,1953,Steel Continuous,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
534,1988,Prestressed Concrete,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
